术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
A,品牌评价 核心元数据规范,国内卫星通信地球站发射、接收和地面通信设备技术要求 第四部分 中速数据传输设备,格式冲突,定义1仅为‘修改’，缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
A,品牌评价 核心元数据规范,电网设备模型参数和运行方式数据技术要求,命名冲突,术语“A”在两个定义中分别指称“修改”和“转矩方程常数”这两个完全不同的概念，属于同名异义现象。
A,品牌评价 核心元数据规范,高清晰度电视3Gbps串行数据接口和源图像格式映射,层级冲突,定义1的属概念为‘修改’（一种行为或过程），定义2的属概念为‘Alpha通道’（一种数据通道或信息），两者将术语‘A’归入完全不同的上位范畴。
A,月球探测数据产品分级与命名,国内卫星通信地球站发射、接收和地面通信设备技术要求 第四部分 中速数据传输设备,层级冲突,两个定义将术语“A”归入完全不同的上位概念（“版本”与“报头比特”），导致其层级定位根本不同。
A,月球探测数据产品分级与命名,电网设备模型参数和运行方式数据技术要求,领域冲突,两个定义将术语“A”置于完全不同的学科领域（月球探测与电网设备），其属概念（版本 vs. 常数）和本质理解截然不同。
A,月球探测数据产品分级与命名,高清晰度电视3Gbps串行数据接口和源图像格式映射,层级冲突,定义1的属概念为‘版本’，定义2的属概念为‘通道’，两者将术语归入完全不同的上位范畴。
A,国内卫星通信地球站发射、接收和地面通信设备技术要求 第四部分 中速数据传输设备,电网设备模型参数和运行方式数据技术要求,领域冲突,两个定义将术语“A”分别归入“报头比特”和“转矩方程常数”这两个截然不同的上位概念，分别对应卫星通信和电力系统两个不同领域，对术语的本质理解完全不同。
A,国内卫星通信地球站发射、接收和地面通信设备技术要求 第四部分 中速数据传输设备,高清晰度电视3Gbps串行数据接口和源图像格式映射,领域冲突,两个定义将术语“A”分别归入“报头比特”和“Alpha通道”这两个不同领域（卫星通信与视频图像处理）的上位概念，体现了不同学科或技术领域对同一术语的本质理解与归属完全不同。
A,电网设备模型参数和运行方式数据技术要求,高清晰度电视3Gbps串行数据接口和源图像格式映射,命名冲突,术语“A”在两个定义中分别指称“转矩方程常数”和“Alpha通道”这两个完全不同的概念，属于同名异义。
ABIE,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,国际贸易业务数据规范 货物跟踪与追溯,引用冲突,定义2直接引用外部标准（GB/T 18811）进行定义，与定义1的内涵式定义方式构成基于不同引用来源的潜在规定差异。
ABIE,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,层级冲突,定义1将ABIE的属概念明确为“业务对象”，而定义2的属概念是“用于描述业务对象的结构”，两者在层级定位上存在差异。
ACC,爆炸危险化学品汽车运输安全监控系统 第5部分：车载装置与通信中心间数据接口,国际贸易业务数据规范 货物跟踪与追溯,命名冲突,术语“ACC”在两个定义中分别指称“车辆电源开关状态”和“聚合核心构件”两个完全不同的概念，属于同名异义。
ACC,爆炸危险化学品汽车运输安全监控系统 第5部分：车载装置与通信中心间数据接口,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,命名冲突,术语“ACC”在两个定义中分别指称“车辆电源开关状态”和“聚合核心组件”两个完全不同的概念，属于同名异义。
ACC,国际贸易业务数据规范 货物跟踪与追溯,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,引用冲突,定义1引用了外部标准GB/T 18811进行定义，而定义2未引用该标准并给出了不同的内涵描述，导致依据不同权威来源的定义内容存在差异。
AGC,电网运行与控制数据规范,风能发电系统 智能风力发电场数据采集技术规范,领域冲突,两个定义将术语置于不同领域（电网总体运行控制 vs. 风电场有功功率调节），属概念和关注点存在本质差异。
AGD_OPE.1,信息安全技术 数据库管理系统安全评估准则,信息安全技术 数据库管理系统安全技术要求,层级冲突,两个定义将术语归入完全不同的上位概念（‘安全要求类’与‘操作用户指南’），导致其层级定位根本不同。
AI,互联网数据中心（IDC）技术和分级要求,军民通用资源 数据载体标识要求,命名冲突,术语“AI”在两个定义中分别映射到“人工智能”和“应用标识符”两个完全不同的概念，导致术语-概念关系不一致。
AI,军民通用资源 数据载体标识要求,制造服务 业务数据集成通用要求,命名冲突,两个定义将同一术语“AI”分别映射到“应用标识符”和“人工智能”这两个完全不同的概念，导致术语-概念关系不一致。
APDU,社区能源计量抄收系统规范 第1部分：数据交换,工业机械电气设备 控制与驱动装置间实时串行通信数据链路,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“信息传递过程”，定义2的属是“数据单元”，导致层级定位不同。
APDU,工业机械电气设备 控制与驱动装置间实时串行通信数据链路,电子收费 OBE-SAM数据格式和技术要求,命名冲突,两个定义分别使用“应用层过程数据单元”和“应用协议数据单元”作为术语的全称，指向同一概念（APDU），但术语-概念映射的命名形式不一致。
API,信息技术 大数据 存储与处理系统功能测试要求,电子商务平台数据开放 第三方软件提供商评价准则,命名冲突,两个定义本质概念一致，但英文全称存在“Programming”与“Program”的拼写差异，属于术语-概念映射的命名不一致。
API,信息技术 大数据 分析系统功能测试要求,电子商务平台数据开放 第三方软件提供商评价准则,命名冲突,两个定义本质概念一致，但术语全称的英文拼写存在差异（Programming vs Program），属于同概念映射到不同术语形式。
API,信息技术 大数据计算系统通用要求,电子商务平台数据开放 第三方软件提供商评价准则,命名冲突,两个定义本质概念一致，但术语全称的英文拼写存在差异（Programming vs Program），属于同一概念映射到不同术语形式的问题。
AQL,个人位置导航电子地图数据质量规范,道路交通信息服务 数据服务质量规范,层级冲突,定义1将AQL的属概念定位为“率”（比率），定义2定位为“等级”，两者属于不同的上位概念范畴。
AQL,个人位置导航电子地图数据质量规范,车载导航电子地图数据质量规范,时效冲突,定义2引用了更新后的标准（GB/T 2828）并明确了具体数值，而定义1沿用旧认知或通用表述，体现了标准修订带来的差异。
AQL,道路交通信息服务 数据服务质量规范,车载导航电子地图数据质量规范,层级冲突,定义1的属概念为“等级”，定义2的属概念为“限”，两者将术语归入不同的上位范畴，导致层级定位不同。
AS2,港口海铁联运电子数据交换技术要求,国际物流信息系统数据接口,层级冲突,定义1的属概念为‘标准’，定义2的属概念为‘协议’，两者属于不同的上位概念体系。
ASBIE,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,国际贸易业务数据规范 货运代理,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“关联关系”，定义2的属是“业务信息实体”，导致层级定位不同。
ASBIE,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,国际贸易业务数据规范 货物跟踪与追溯,命名冲突,两个定义的核心概念（一个表示“关联关系”，一个表示“已关联的实体”）不同，但使用了相同或高度相似的术语名称（ASBIE/关联业务信息实体）。
ASBIE,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,国际贸易业务数据规范 检验检疫电子证书数据交换,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“关联关系”，定义2的属是“实体”，导致层级定位不同。
ASBIE,国际贸易业务数据规范 汇付通知,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,范围冲突,定义2通过种差“用于描述业务对象之间的关系”限定了ASBIE的功能范围，而定义1未作此限定，导致两者对术语指称对象的外延划定不同。
ASBIE,国际贸易业务数据规范 汇付通知,国际贸易业务数据规范 货运代理,层级冲突,两个定义将术语归入不同的上位概念（'信息实体'与'聚合业务信息实体'），导致层级定位不同。
ASBIE,国际贸易业务数据规范 汇付通知,国际贸易业务数据规范 货物跟踪与追溯,层级冲突,两个定义将术语归入不同的上位概念（属），定义1为“实体”，定义2为“聚合业务信息实体”，导致层级定位不同。
ASBIE,国际贸易业务数据规范 汇付通知,国际贸易业务数据规范 检验检疫电子证书数据交换,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“实体”，定义2的属是“实体（表示关系）”，导致层级定位不同。
ASBIE,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,国际贸易业务数据规范 货运代理,层级冲突,两个定义将术语的属概念分别归入“实体”和“信息实体”，导致层级定位不同。
ASBIE,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,国际贸易业务数据规范 货物跟踪与追溯,引用冲突,两个定义引用了不同的标准或规范作为定义依据，导致对术语的界定来源和规定不同。
ASBIE,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,国际贸易业务数据规范 检验检疫电子证书数据交换,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“关联业务信息实体”，定义2的属是“聚合业务信息实体”，导致层级定位不同。
ASBIE,国际贸易业务数据规范 货运代理,国际贸易业务数据规范 检验检疫电子证书数据交换,范围冲突,定义1强调‘已关联的’作为核心限定，定义2则强调‘表示实体间的关系’，导致对ASBIE实体状态（是否必须已关联）的边界划定不同。
ASBIE,国际贸易业务数据规范 货物跟踪与追溯,国际贸易业务数据规范 检验检疫电子证书数据交换,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“已关联的聚合业务信息实体”，定义2的属是“聚合业务信息实体”，导致层级定位不同。
ASCII,GPS接收机导航定位数据输出格式,科技计划形成的科学数据汇交 通用代码集,层级冲突,定义1将术语归入“码”，定义2归入“字符集代码”，属概念（上位范畴）不同，导致层级定位差异。
ATE,半导体集成电路 第三代双倍数据速率同步动态随机存储器 （DDR3 SDRAM）测试方法,信息安全技术 数据库管理系统安全技术要求,领域冲突,两个定义将术语“ATE”归入不同学科领域（集成电路测试与信息安全/数据库测试），导致其属概念和本质理解不同。
ATE_COV.1,信息安全技术 数据库管理系统安全技术要求,信息安全技术 数据库管理系统安全评估准则,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属概念是“证据”，定义2的属概念是“安全要求类”，导致层级定位完全不同。
ATE_COV.2,信息安全技术 数据库管理系统安全技术要求,信息安全技术 数据库管理系统安全评估准则,层级冲突,两个定义将术语归入不同的上位概念（覆盖分析 vs 安全要求类），导致层级定位不同。
AVA_VAN.2,信息安全技术 数据库管理系统安全技术要求,信息安全技术 数据库管理系统安全评估准则,层级冲突,两个定义将术语归入不同的上位概念（脆弱性分析 vs. 安全要求类），导致层级定位不同。
AVA_VAN.3,信息安全技术 数据库管理系统安全评估准则,信息安全技术 数据库管理系统安全技术要求,领域冲突,两个定义将术语归入不同的上位概念（安全要求类 vs. 关注点脆弱性分析），反映了不同技术标准或文档在安全评估框架中对同一标识符的领域归属和功能定位存在根本差异。
AVC,风能发电系统 智能风力发电场数据采集技术规范,电网运行与控制数据规范,层级冲突,定义1将AVC的属概念明确为一种“用于调节...以维持...”的（控制）功能或系统，而定义2的属概念是“电网运行控制的关键业务之一”，两者属于不同层级的范畴定位。
Action,分布式关系数据库服务接口规范,信息技术 云数据存储和管理 第1部分：总则,层级冲突,两个定义将术语'Action'归入不同的上位概念（'执行的操作'与'建议性行为'），导致其层级定位完全不同。
Address,中文新闻信息内容 第3部分：数据交换的XML格式,工业以太网现场总线EtherCAT 第4部分：数据链路层协议规范,领域冲突,两个定义将术语“Address”归入通信领域和计算机硬件/网络领域，属概念（地址元素 vs. 标识符）和本质理解完全不同。
Android App,信息安全技术 即时通信服务数据安全要求,信息安全技术 快递物流服务数据安全要求,范围冲突,定义1限定为“即时通信服务应用程序”，定义2限定为“Android 11及以下版本的应用程序”，两者对术语“Android App”的指称对象范围划定不同，存在交集但互不包含。
BA,军民通用资源 元数据 第6部分：设施类,军民通用资源 元数据 第1部分：物资类 油品,领域冲突,两个定义将术语“BA”归入不同领域（设施类元数据 vs. 物资类油品元数据）的不同代码体系，属概念和本质理解不同。
BAM,信息技术 生物特征样本质量 第14部分：DNA数据,高通量测序数据序列格式规范,层级冲突,定义1的属概念为'图'，定义2的属概念为'格式'，两者属于不同的上位概念，导致术语的层级定位不同。
BB,军民通用资源 元数据 第1部分：物资类 油品,军民通用资源 元数据 第6部分：设施类,领域冲突,两个定义将术语“BB”归入不同领域（物资类油品与设施类仓库/油库）的不同属性范畴，本质理解不同。
BBIE,国际贸易业务数据规范 货物跟踪与追溯,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,引用冲突,两个定义引用了不同的权威标准（GB/T 18811 与 基于XML的电子商务业务数据和过程 第2部分），且未明确其内涵是否一致，导致依据不同来源的规定可能产生矛盾。
BBIE,国际贸易业务数据规范 检验检疫电子证书数据交换,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,范围冲突,定义1通过枚举（如Text、Identifier、Code）限定BBIE的指称对象，定义2通过功能（描述业务对象的属性）限定，导致对“描述业务对象属性的Text”等实体是否属于BBIE的边界划定不同。
BBIE,国际贸易业务数据规范 货运代理,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,范围冲突,定义2通过增加‘用于描述业务对象的属性’这一限定，缩小了BBIE的指称范围，导致部分实体可能符合定义1但不符合定义2。
BBIE,国际贸易业务数据规范 汇付通知,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,范围冲突,定义2通过种差'用于描述业务对象的属性'限定了BBIE的用途范围，而定义1未做此限定，导致两者对BBIE外延的划定不同。
BCC,电动汽车远程服务与管理系统技术规范 第3部分：通信协议及数据格式,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,领域冲突,两个定义将术语“BCC”归入完全不同的上位概念（“校验方法”与“数据组件”），源于不同技术领域（通信协议与电子商务数据）对同一缩写的本质理解不同。
BCC,电动汽车远程服务与管理系统技术规范 第3部分：通信协议及数据格式,国际贸易业务数据规范 货物跟踪与追溯,命名冲突,术语“BCC”在两个定义中分别指称“异或校验法”和“基本核心构件”两个完全不同的概念，属于同名异义。
BCC,基于XML的电子商务业务数据和过程 第7部分：技术评审指南,国际贸易业务数据规范 货物跟踪与追溯,引用冲突,两个定义引用了不同的权威来源（前者为特定标准部分，后者引用GB/T 18811），且未确认其规定是否一致，构成基于不同引用的潜在冲突。
BCD码,基于网络传输的导航电子地图数据更新规范 第1部分：应用于车载终端编译的增量更新模式,塔式起重机安全监控系统及数据传输规范,层级冲突,定义1将BCD码的属概念定位为“数字压缩存储编码”，定义2定位为“二进制编码的十进制码”，两者属于不同的上位概念体系。
BCD码,基于网络传输的导航电子地图数据更新规范 第1部分：应用于车载终端编译的增量更新模式,北斗三号区域短报文通信用户终端信息接口 第2部分：通用数据接口,格式冲突,定义1缺少明确的属概念，且结构失范，无法按内涵定义逻辑进行有效拆解和对比。
BDCS,用户面定位业务平台与卫星导航定位基准站网数据接口技术要求及测试方法,北斗三号区域短报文通信用户终端信息接口 第2部分：通用数据接口,层级冲突,定义1的属概念为“系统”，定义2的属概念为“坐标系”，两者属于不同的上位概念层级。
BDS,质量技术基础 信息资源数据规范,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,引用冲突,两个定义引用了不同的权威来源（通用描述 vs. 具体技术接口控制文档），导致定义的规定和依据不同。
BDS,北斗地基增强系统实时定位分级服务内容及数据格式,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,引用冲突,两个定义均指向同一属概念，但定义2通过引用特定接口控制文件进行定义，而定义1直接描述了系统提供的具体信息内容，两者依据的权威来源和规定方式不同，导致对术语具体内涵的界定路径存在矛盾。
BDS,科技服务产品数据描述规范,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,引用冲突,两个定义的核心差异在于定义2明确引用了特定技术接口控制文档作为定义依据，而定义1未引用，这导致了定义来源和具体技术规定上的不一致。
BDS时间,术语数据库开发文件编制指南,信息安全技术 数据库管理系统安全评估准则,引用冲突,两个定义分别指向不同的来源文件，且未提供可对比的内涵定义，导致依据的权威规定不同。
BDS时间,术语数据库开发文件编制指南,机械产品几何检测质量信息模型通用数据字典,引用冲突,两个定义分别指向不同的来源文件，且未提供可对比的内涵定义，导致依据不同引用来源的规定可能产生矛盾。
BDS时间,术语数据库开发文件编制指南,月球与行星探测数据质量检验要求,引用冲突,定义1直接给出内涵定义，定义2引用外部标准GB/T 19391，两者依据的权威来源不同且未明确内容是否一致，构成引用冲突。
BDS时间,术语数据库开发文件编制指南,数据论文出版元数据,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,信息技术 云数据存储和管理 第3部分：分布式文件存储应用接口,范围冲突,定义1仅指明时间基准，定义2额外限定了与UTC同步及用于时间同步和授时的功能边界，导致后者外延更窄。
BDS时间,术语数据库开发文件编制指南,地理空间数据交换格式,引用冲突,两个定义分别指向不同的权威来源（术语数据库开发文件编制指南与GB/T 19391），且未提供统一的内涵描述，导致依据的引用规定不同。
BDS时间,术语数据库开发文件编制指南,信息技术 大数据 技术参考模型,范围冲突,定义1仅指明核心属性，定义2增加了‘与UTC保持同步’这一关键边界限定，导致对‘BDS时间’外延的划定不同。
BDS时间,术语数据库开发文件编制指南,用户端能源管理系统 第3-2部分：子系统接口网关数据配置,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,土壤科学数据元数据,程度冲突,属概念（时间基准）相同，但定义2提供了更详细的种差（起始历元、连续性等量化/描述性信息），而定义1仅为简称，两者不构成直接矛盾。
BDS时间,术语数据库开发文件编制指南,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅指明时间基准，定义2额外限定了与UTC同步，导致后者外延更窄，存在边界划定不同。
BDS时间,术语数据库开发文件编制指南,工业以太网现场总线EtherCAT 第4部分：数据链路层协议规范,引用冲突,定义2通过引用GB/T 19391进行定义，与定义1的直接定义构成不同且可能矛盾的权威来源依据。
BDS时间,术语数据库开发文件编制指南,时序卫星影像数据质量检查与评价,引用冲突,定义2明确引用GB/T 19391进行定义，与定义1的来源不同，且依据不同来源可能导致规定矛盾。
BDS时间,术语数据库开发文件编制指南,全球连续监测评估系统（iGMAS）文件格式 第1部分：观测数据,引用冲突,定义2明确引用GB/T 39267进行定义，与定义1的直接描述构成不同权威来源依据，且未提供内容进行一致性判断，依据标准优先判断引用冲突。
BDS时间,术语数据库开发文件编制指南,信息技术 传感器网络 第702部分：传感器接口：数据接口,引用冲突,两个定义引用或依据的权威来源不同，且来源不同可能导致对术语的具体规定或解释存在差异。
BDS时间,术语数据库开发文件编制指南,证券期货业与银行间业务数据交换协议 第1部分：三方存管、银期转账和结售汇业务,范围冲突,定义1仅指明时间基准，定义2增加了“与UTC保持同步”这一关键边界限定，导致后者外延更窄。
BDS时间,术语数据库开发文件编制指南,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,范围冲突,定义1仅指明时间基准，定义2则详细界定了其作为时间系统的具体属性、同步关系和偏差播发机制，导致对‘BDS时间’概念外延的划定范围不同。
BDS时间,术语数据库开发文件编制指南,地下管线数据获取规程,引用冲突,两个定义分别指向不同的权威来源（术语数据库开发文件编制指南与GB/T 19391），且未提供具体内容进行对比，依据引用来源不同可能导致规定矛盾。
BDS时间,术语数据库开发文件编制指南,机械 科学数据 第2部分：数据元目录,引用冲突,定义2未提供具体内容，仅引用外部标准GB/T 19391，与定义1的直接定义构成不同引用来源，且无法判断引用内容是否与定义1一致或矛盾，符合引用冲突的判定条件。
BDS时间,术语数据库开发文件编制指南,GNSS接收机数据自主交换格式,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“系统时间之一”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,智能电网用户端系统数据接口一般要求,格式冲突,定义2未提供有效定义，无法进行内涵要素拆解与对比，违反了术语定义写作的基本规范。
BDS时间,术语数据库开发文件编制指南,公路地理信息数据采集与质量控制,范围冲突,定义1仅指时间基准本身，定义2扩展了其用途（用于系统校时），导致对术语指称对象功能边界的划定不同。
BDS时间,术语数据库开发文件编制指南,电子商务数据资产评价指标体系,程度冲突,属概念相同（均为“时间基准”），但定义2的种差（“与协调世界时（UTC）保持同步”）比定义1的种差（无具体限定）在描述上更具体，构成量化/信息详略的程度差异。
BDS时间,术语数据库开发文件编制指南,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法进行有效的内涵要素拆解与对比，违反了术语定义的基本写作规范。
BDS时间,术语数据库开发文件编制指南,科学数据溯源元数据,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,科技服务产品数据描述规范,范围冲突,定义1仅指明核心属概念，定义2在相同属概念基础上增加了与UTC同步及偏差阈值等具体边界限定，导致对‘BDS时间’外延的划定范围不同。
BDS时间,术语数据库开发文件编制指南,城市智慧卡互联互通 充值数据接口,引用冲突,定义1直接给出内涵定义，定义2引用外部标准GB/T 19391，两者依据的权威来源不同且未明确内容是否一致，构成引用冲突。
BDS时间,术语数据库开发文件编制指南,信息技术 实时定位 多源融合定位数据接口,范围冲突,定义2通过‘与UTC保持同步’这一种差限定了‘北斗系统时间’的外延，而定义1未作此限定，导致两者指称的时间系统范围不同。
BDS时间,术语数据库开发文件编制指南,基于模型的航空装备研制 数据交换,引用冲突,两个定义分别指向不同的来源依据，且未提供可对比的内涵要素，导致无法判断其规定是否一致。
BDS时间,术语数据库开发文件编制指南,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,建筑及居住区数字化技术应用 基础数据元,层级冲突,定义1的属概念为‘时间基准’，定义2的属概念为‘时间系统’，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,物品电子编码 标签数据转换,范围冲突,定义2通过增加‘与协调世界时（UTC）保持同步’这一限定，对‘BDS时间’的边界/外延进行了更精确的划定，而定义1未包含此边界信息，导致两者对概念范围的描述不同。
BDS时间,术语数据库开发文件编制指南,生态科学数据元数据,范围冲突,定义1仅指明时间基准，定义2则限定了具体的时间系统并给出溯源，后者外延更具体，导致对‘BDS时间’指称对象的边界划定不同。
BDS时间,术语数据库开发文件编制指南,公交导航数据模型与交换格式,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,电网设备模型参数和运行方式数据技术要求,层级冲突,定义1的属概念为'时间基准'，定义2的属概念为'时间系统'，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,北斗地基增强系统数据处理中心技术要求,引用冲突,定义1直接给出内涵定义，定义2引用外部标准GB/T39267—2020，两者依据的权威来源不同且未直接统一，导致规定内容可能存在矛盾或不确定性。
BDS时间,术语数据库开发文件编制指南,道路、水路货物运输地理信息基础数据元,层级冲突,定义1的属概念为“时间基准”，定义2的属概念为“时间系统”，两者属于不同的上位概念层级。
BDS时间,术语数据库开发文件编制指南,高清晰度电视3Gbps串行数据接口和源图像格式映射,领域冲突,两个定义将术语置于不同领域（卫星导航系统时间基准 vs. 电视接口标准中的GNSS数据业务术语），导致属概念和本质理解不同。
BDS时间,术语数据库开发文件编制指南,国际贸易业务数据规范 货物跟踪与追溯,引用冲突,定义2明确引用GB/T 19391进行定义，与定义1的直接定义构成不同权威来源依据，且未表明两者内容一致，导致潜在规定矛盾。
BDS时间,术语数据库开发文件编制指南,海洋数据应用记录格式,领域冲突,定义1将术语归入“时间基准”这一技术/工程范畴，定义2则归入“GNSS时间系统”这一更具体的导航/应用领域，属概念不同且反映了不同领域的视角和关注点。
BDS时间,术语数据库开发文件编制指南,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,领域冲突,定义1明确将术语归入“北斗系统”范畴，而定义2通过关联GPS和UTC时间，暗示其属于“全球卫星导航系统时间”或“时间基准”的更通用领域，两者对术语的领域归属与本质理解不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,健康管理 终端设备数据采集与传输协议,引用冲突,两个定义分别引用了不同的权威来源（GB/T 19391 和 北斗卫星导航系统），导致对术语“BDS时间”的规定或解释来源不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,数据论文出版元数据,引用冲突,两个定义分别引用了不同的权威来源（GB/T 19391 与对北斗系统本身的描述），且依据这些引用来源所阐述的定义内容（一个指向外部标准，一个直接描述时间系统本质）存在矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息技术 云数据存储和管理 第3部分：分布式文件存储应用接口,引用冲突,定义1引用GB/T 19391进行定义，定义2给出具体内涵，两者依据的权威来源不同且未确认其规定是否一致，构成引用冲突。
BDS时间,信息安全技术 数据库管理系统安全评估准则,地理信息 权限数据字典,引用冲突,两个定义分别引用不同标准（GB/T 19391）和未明确定义的提及，导致对术语的权威界定来源和规定不一致。
BDS时间,信息安全技术 数据库管理系统安全评估准则,自动化系统与集成 离散制造企业数据空间集成模型,引用冲突,两个定义分别引用了不同的标准或来源（GB/T 19391 与 北斗卫星导航系统），导致对术语“BDS时间”的界定依据和规定不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,社会保险核心业务数据质量规范,引用冲突,定义1引用GB/T 19391进行定义，定义2给出具体内涵，两者依据的权威来源不同且未确认内容是否一致，构成引用冲突。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息技术服务 外包 第2部分：数据保护要求,引用冲突,两个定义分别引用了不同的标准文件（GB/T 19391与北斗系统自身）作为定义依据，导致对术语“BDS时间”的界定来源和规定不同。
